lrk_id,type_oko,lrk_status,inschrijfdatum,uitschrijfdatum,kvk_nummer,vestigingsnummer,rechtsvorm,postcode,woonplaats,signal
120862608,KDV,Uitgeschreven,03-04-2019,10-06-2020,72597976,000040699064,,2106CK,Heemstede,kvk_not_in_active_register
121012384,KDV,Uitgeschreven,29-08-2016,01-08-2019,52728609,,,8731CD,Wommels,kvk_not_in_active_register
121385255,GOB,Uitgeschreven,01-01-2010,01-06-2021,20137424,000013637762,,4761RE,Zevenbergen,kvk_not_in_active_register
121597258,KDV,Uitgeschreven,01-04-2016,31-12-2018,11058656,000004027054,,5324AC,Ammerzoden,kvk_not_in_active_register
121845229,KDV,Uitgeschreven,03-07-2012,01-01-2021,58133259,000028228642,,3781BA,Voorthuizen,kvk_not_in_active_register
121887820,KDV,Uitgeschreven,03-07-2018,01-01-2020,50411934,,,2402KP,Alphen aan den Rijn,kvk_not_in_active_register
121963147,BSO,Uitgeschreven,22-07-2021,10-12-2021,24372454,,,3281BZ,Numansdorp,kvk_not_in_active_register
121963482,GOB,Uitgeschreven,01-04-2015,27-03-2017,59139390,000064448681,,2871ES,Schoonhoven,kvk_not_in_active_register
122056462,KDV,Uitgeschreven,01-01-1992,01-09-2018,17098523,,,5708JJ,Helmond,kvk_not_in_active_register
122158842,KDV,Uitgeschreven,23-08-2010,29-09-2020,27260549,,,2628GJ,Delft,kvk_not_in_active_register
122258903,KDV,Uitgeschreven,04-01-2011,31-01-2019,51150433,000025563114,,8513CK,Ouwsterhaule,kvk_not_in_active_register
122279840,KDV,Uitgeschreven,19-11-2013,01-06-2023,34358747,000012496634,,1562WP,Krommenie,kvk_not_in_active_register
122430839,BSO,Uitgeschreven,01-05-2012,30-04-2018,01133573,000025695657,,9406TH,Assen,kvk_not_in_active_register
122442611,BSO,Uitgeschreven,02-10-2015,06-02-2019,60976640,000033086869,,1015HP,Amsterdam,kvk_not_in_active_register
122671338,KDV,Uitgeschreven,08-12-2016,01-03-2019,67808875,000036307181,,4822RB,Breda,kvk_not_in_active_register
123002990,BSO,Uitgeschreven,01-01-2010,19-01-2018,68359721,000036808245,,7556VD,Hengelo,kvk_not_in_active_register
123235029,BSO,Uitgeschreven,14-11-2016,23-11-2018,08195188,,,8081XX,Elburg,kvk_not_in_active_register
123504570,BSO,Uitgeschreven,06-11-2014,16-07-2018,60892803,,,9203JV,Drachten,kvk_not_in_active_register
123591892,KDV,Uitgeschreven,06-12-2016,18-03-2019,65992172,000035419318,,8748BG,Witmarsum,kvk_not_in_active_register
123620703,KDV,Uitgeschreven,01-02-2016,01-08-2016,59356782,000030740592,,8485JJ,Munnekeburen,kvk_not_in_active_register
123682769,BSO,Uitgeschreven,07-01-2011,08-01-2018,12062153,,,6102EH,Echt,kvk_not_in_active_register
123835458,KDV,Uitgeschreven,02-01-2013,01-02-2023,27301745,000026170337,,2729EB,Zoetermeer,kvk_not_in_active_register
124112973,BSO,Uitgeschreven,02-01-2010,01-10-2021,63523329,000024158418,,2909LL,Capelle aan den IJssel,kvk_not_in_active_register
124180401,KDV,Uitgeschreven,23-02-2017,01-08-2019,41087129,000023267542,,5551AV,Valkenswaard,kvk_not_in_active_register
124300911,KDV,Uitgeschreven,01-10-2010,07-05-2019,32143883,,,1328LJ,Almere,kvk_not_in_active_register
124313978,KDV,Uitgeschreven,15-07-2014,01-08-2019,24411311,000028101642,,2904SC,Capelle aan den IJssel,kvk_not_in_active_register
124335160,GOB,Uitgeschreven,06-06-2013,01-10-2018,34341876,000008628793,,1019XH,Amsterdam,kvk_not_in_active_register
124401442,GOB,Uitgeschreven,01-01-2010,05-02-2024,08165941,,,3772LJ,Barneveld,kvk_not_in_active_register
124565372,GOB,Uitgeschreven,01-01-2010,01-01-2021,08160872,000015621588,,7461VR,Rijssen,kvk_not_in_active_register
124680124,GOB,Uitgeschreven,01-01-2010,01-01-2018,41005662,,,9051BR,Stiens,kvk_not_in_active_register
124803842,KDV,Uitgeschreven,01-03-2015,31-03-2019,61882577,000030945828,,5237HB,'s-Hertogenbosch,kvk_not_in_active_register
124909097,GOB,Uitgeschreven,22-11-2016,01-05-2024,66612446,000066612446,,2861XK,Bergambacht,kvk_not_in_active_register
124946495,KDV,Uitgeschreven,01-01-2010,01-07-2019,24443490,,,3328SH,Dordrecht,kvk_not_in_active_register
125104121,BSO,Uitgeschreven,01-08-2017,21-10-2019,59356154,,,8391BG,Noordwolde,kvk_not_in_active_register
125517026,KDV,Uitgeschreven,31-10-2012,10-09-2021,41106444,000040595560,,4835LH,Breda,kvk_not_in_active_register
125560862,BSO,Uitgeschreven,01-09-2014,17-11-2022,58847987,000028178742,,7211GM,Eefde,kvk_not_in_active_register
125680922,KDV,Uitgeschreven,25-07-2014,18-07-2018,56642474,,,9491AA,Zeijen,kvk_not_in_active_register
125767687,KDV,Uitgeschreven,19-03-2015,01-01-2022,41022366,,,7951JS,Staphorst,kvk_not_in_active_register
125812280,BSO,Uitgeschreven,09-01-2014,01-09-2022,24302888,000024302888,,2903TJ,Capelle aan den IJssel,kvk_not_in_active_register
125960323,KDV,Uitgeschreven,16-04-2012,01-08-2020,41099465,,,5251NK,Vlijmen,kvk_not_in_active_register
126238303,BSO,Uitgeschreven,17-08-2016,02-07-2020,52836517,000022744770,,2201XP,Noordwijk,kvk_not_in_active_register
126680164,BSO,Uitgeschreven,20-02-2012,01-09-2018,27301745,000026170469,,2723AG,Zoetermeer,kvk_not_in_active_register
