budget_name,regeling,instrument,year,amount_k,baseline_k,deviation_pct,deviation_direction,n_years
Sociale Zaken en Werkgelegenheid,COA,Bijdrage aan ZBOs en RWTs,2023,67302,23801,182.8,over,8
"Onderwijs, Cultuur en Wetenschap",Reisvoorziening (NR),Leningen,2023,498336,176372,182.5,over,4
Justitie en Veiligheid,Dienst Justis,Bijdrage aan agentschappen,2021,4810,1726,178.8,over,6
"Onderwijs, Cultuur en Wetenschap",Nationaal Agentschap Erasmus+ Onderwijs & Training,Bijdrage aan (inter-)nationale organisaties,2019,3066,1104,177.6,over,8
"Onderwijs, Cultuur en Wetenschap",Collegegeldkrediet (NR),Leningen,2023,360678,130121,177.2,over,8
"Onderwijs, Cultuur en Wetenschap",Overige uitgaven (NR),Leningen,2023,-8916,11704,-176.2,under,4
"Onderwijs, Cultuur en Wetenschap",Nederlands-Vlaamse Accreditatieorganisatie (NVAO),Bijdrage aan ZBOs en RWTs,2023,11918,4319,175.9,over,8
"Onderwijs, Cultuur en Wetenschap",Regeling Onderwijsvoorziening jonggehandicapten,Subsidies (regelingen),2023,63440,23012,175.7,over,6
"Onderwijs, Cultuur en Wetenschap",Internationaal cultuurbeleid (incl. HGIS),Subsidies (regelingen),2023,24212,8785,175.6,over,6
"Onderwijs, Cultuur en Wetenschap",UWV,Bijdrage aan ZBOs en RWTs,2023,5532,2013,174.8,over,8
Buitenlandse Zaken,VN-contributie voor crisisbeheersingsoperaties,Bijdrage aan (inter-)nationale organisaties,2021,72660,26826,170.9,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Werkgeversbeleid,Bijdrage aan agentschappen,2023,7326,2710,170.3,over,5
"Onderwijs, Cultuur en Wetenschap",NBC/Nationaal Herbarium,Subsidies (regelingen),2023,17018,6299,170.2,over,6
Economische Zaken en Klimaat,Co-FIN ERA-NET Energiecall,Subsidies (regelingen),2023,4514,1673,169.9,over,6
Economische Zaken en Klimaat,Vroegefasefinanciering,Leningen,2023,20788,7873,164.0,over,6
Economische Zaken en Klimaat,Topsector Energie,Subsidies (regelingen),2023,131100,49876,162.9,over,7
"Onderwijs, Cultuur en Wetenschap",Dienst Uitvoering Onderwijs (DUO),Bijdrage aan agentschappen,2023,757110,288309,162.6,over,7
Economische Zaken en Klimaat,Innovatieregeling Demonstratieprojecten,Subsidies (regelingen),2022,72824,27763,162.3,over,6
Binnenlandse Zaken en Koninkrijksrelaties,SAIP,Bijdrage aan ZBOs en RWTs,2023,12000,4578,162.1,over,5
"Onderwijs, Cultuur en Wetenschap",Nederlands Instituut voor Beeld en Geluid (NIBG),Bekostiging,2023,64182,24494,162.0,over,8
"Onderwijs, Cultuur en Wetenschap",Educatie,Bijdrage aan medeoverheden,2023,170894,65451,161.1,over,8
Justitie en Veiligheid,Regionale Informatie en Expertise Centra,Bijdrage aan medeoverheden,2022,13329,5118,160.5,over,6
"Onderwijs, Cultuur en Wetenschap",SBB,Bijdrage aan ZBOs en RWTs,2023,164126,63018,160.4,over,8
Justitie en Veiligheid,CJIB,Bijdrage aan agentschappen,2021,150870,58108,159.6,over,6
"Onderwijs, Cultuur en Wetenschap",Rijksdienst voor Ondernemend Nederland,Bijdrage aan agentschappen,2023,6206,2396,159.0,over,8
Buitenlandse Zaken,Internationaal Strafhof,Bijdrage aan (inter-)nationale organisaties,2023,10922,4232,158.1,over,8
"Onderwijs, Cultuur en Wetenschap",Tegemoetkoming kosten opleidingsscholen,Bekostiging,2023,78836,30586,157.8,over,7
Economische Zaken en Klimaat,MKB Idee,Subsidies (regelingen),2022,6509,2533,156.9,over,6
Justitie en Veiligheid,Autoriteit Persoonsgegevens,Bijdrage aan ZBOs en RWTs,2021,26257,10246,156.3,over,6
"Onderwijs, Cultuur en Wetenschap",Tegemoetkoming kosten opleidingsscholen,Bekostiging,2022,44065,17231,155.7,over,7
Sociale Zaken en Werkgelegenheid,Overige subsidies,Subsidies (regelingen),2024,6804,2695,152.4,over,7
"Onderwijs, Cultuur en Wetenschap",Nederlandse Taalunie,Bijdrage aan (inter-)nationale organisaties,2020,6990,2770,152.3,over,8
"Onderwijs, Cultuur en Wetenschap",Studievoorschot middelen,Bekostiging,2023,1166708,464100,151.4,over,4
Buitenlandse Zaken,Europees Ontwikkelingsfonds,Bijdrage aan (inter-)nationale organisaties,2021,179482,71417,151.3,over,6
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan agentschappen,2023,19958,7942,151.3,over,6
"Onderwijs, Cultuur en Wetenschap",Vakwedstrijden MBO,Subsidies (regelingen),2023,9442,3800,148.5,over,5
Economische Zaken en Klimaat,Regeling seed capital technostarters,Leningen,2023,79994,32310,147.6,over,6
Infrastructuur en Waterstaat,Begroting,Subsidies (regelingen),2022,22215,9079,144.7,over,6
Provinciefonds,Algemene uitkering,Bijdrage aan medeoverheden,2023,6101034,2496851,144.3,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Gemeenten,Bijdrage aan medeoverheden,2020,5144,2107,144.1,over,6
"Onderwijs, Cultuur en Wetenschap",Specifiek cultuurbeleid,Subsidies (regelingen),2021,169974,69866,143.3,over,8
"Onderwijs, Cultuur en Wetenschap",Overige subsidies,Subsidies (regelingen),2023,371644,152995,142.9,over,8
"Landbouw, Natuur en Voedselkwaliteit",Marktintroductie Energie Innovatie,Subsidies (regelingen),2021,7879,3252,142.3,over,6
"Onderwijs, Cultuur en Wetenschap",EMBL,Bijdrage aan (inter-)nationale organisaties,2023,13076,5403,142.0,over,8
"Onderwijs, Cultuur en Wetenschap",NWO,Bekostiging,2023,1179610,487852,141.8,over,8
Justitie en Veiligheid,Onderzoeksraad voor Veiligheid,Bijdrage aan ZBOs en RWTs,2021,15594,6468,141.1,over,6
"Onderwijs, Cultuur en Wetenschap",Stimuleringsfonds voor de Journalistiek,Bekostiging,2023,6162,2564,140.3,over,8
"Onderwijs, Cultuur en Wetenschap",Aanvullende regeling leerlingendaling,Bekostiging,2023,9030,3770,139.5,over,5
"Onderwijs, Cultuur en Wetenschap",Nationaal Agentschap Erasmus+Onderwijs&Training,Subsidies (regelingen),2023,8674,3621,139.5,over,4
"Onderwijs, Cultuur en Wetenschap",CERN,Bijdrage aan (inter-)nationale organisaties,2023,122820,51373,139.1,over,8
"Landbouw, Natuur en Voedselkwaliteit",Subsidiemodule brongerichte Verduurzaming,Subsidies (regelingen),2023,16838,7069,138.2,over,5
"Onderwijs, Cultuur en Wetenschap",NCWT/NEMO,Subsidies (regelingen),2023,8412,3552,136.8,over,6
Buitenlandse Zaken,OVSE,Bijdrage aan (inter-)nationale organisaties,2023,10620,4495,136.3,over,8
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan agentschappen,2020,2962,1256,135.9,over,6
Financiën,Bijdrage FEC,Bijdrage aan ZBOs en RWTs,2021,3728,1587,134.9,over,6
Justitie en Veiligheid,Bureau Financieel Toezicht,Bijdrage aan ZBOs en RWTs,2021,8146,3478,134.2,over,6
Financiën,Bijdrage overige agentschappen,Bijdrage aan agentschappen,2022,7796,3333,133.9,over,6
"Onderwijs, Cultuur en Wetenschap",Landelijke publieke omroep,Bekostiging,2023,1914094,822223,132.8,over,8
"Onderwijs, Cultuur en Wetenschap",Lerarenbeurs,Subsidies (regelingen),2023,121538,52268,132.5,over,6
Justitie en Veiligheid,DJI - jeugd,Bijdrage aan agentschappen,2022,187479,80818,132.0,over,6
Economische Zaken en Klimaat,Kamer van Koophandel,Bijdrage aan ZBOs en RWTs,2023,307638,132654,131.9,over,6
"Onderwijs, Cultuur en Wetenschap",Stichting Omroep Muziek,Bekostiging,2023,39954,17258,131.5,over,8
"Onderwijs, Cultuur en Wetenschap",Regionale Omroep,Bekostiging,2023,357936,155356,130.4,over,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging vavo,Bekostiging,2023,160376,69637,130.3,over,8
Economische Zaken en Klimaat,MKB Idee,Subsidies (regelingen),2023,5330,2314,130.3,over,6
"Onderwijs, Cultuur en Wetenschap",Humanistisch vormend en godsdienstonderwijs,Subsidies (regelingen),2023,31510,13757,129.0,over,6
Justitie en Veiligheid,Regionale Informatie en Expertise Centra,Bijdrage aan medeoverheden,2021,8183,3585,128.3,over,6
Economische Zaken en Klimaat,Topconsortia voor Kennis en Innovatie,Bijdrage aan (inter-)nationale organisaties,2022,183949,80931,127.3,over,6
"Onderwijs, Cultuur en Wetenschap",Specifiek cultuurbeleid,Subsidies (regelingen),2022,255326,112716,126.5,over,8
"Onderwijs, Cultuur en Wetenschap",Flankerend beleid huisvesting,Bekostiging,2023,13450,5939,126.5,over,7
Binnenlandse Zaken en Koninkrijksrelaties,Diverse bijdragen,Bijdrage aan ZBOs en RWTs,2019,15935,7038,126.4,over,7
"Onderwijs, Cultuur en Wetenschap",Archieven incl. Regionale Historische Centra,Bekostiging,2023,62598,27778,125.4,over,7
"Onderwijs, Cultuur en Wetenschap",Rentedragende lening (NR),Leningen,2023,3799180,1692326,124.5,over,8
"Onderwijs, Cultuur en Wetenschap",Organisatie van Lokale Omroepen Nederland (OLON),Bekostiging,2023,3778,1685,124.2,over,7
Binnenlandse Zaken en Koninkrijksrelaties,Politieke partijen,Subsidies (regelingen),2023,58916,26291,124.1,over,5
Justitie en Veiligheid,Dienst Justis,Bijdrage aan agentschappen,2022,6166,2754,123.9,over,6
"Onderwijs, Cultuur en Wetenschap",Mediawijsheid Expertisecentr (Bewust mediagebruik),Bekostiging,2023,3658,1635,123.7,over,8
"Onderwijs, Cultuur en Wetenschap",ZBO: College voor Toetsen en Examens,Bijdrage aan ZBOs en RWTs,2023,25806,11542,123.6,over,8
"Onderwijs, Cultuur en Wetenschap",NWO NRO,Bekostiging,2023,87534,39213,123.2,over,8
Sociale Zaken en Werkgelegenheid,DUO,Leningen,2023,181406,81459,122.7,over,7
Buitenlandse Zaken,Mensenrechtenfonds,Bijdrage aan (inter-)nationale organisaties,2023,79836,35984,121.9,over,4
"Onderwijs, Cultuur en Wetenschap",Subsidieregeling St.AAP,Subsidies (regelingen),2023,2384,1080,120.7,over,6
Infrastructuur en Waterstaat,Begroting,Subsidies (regelingen),2023,30314,13751,120.4,over,6
Buitenlandse Zaken,Europees Ontwikkelingsfonds,Bijdrage aan (inter-)nationale organisaties,2022,131504,59827,119.8,over,6
"Onderwijs, Cultuur en Wetenschap",KNAW,Bekostiging,2023,213266,97293,119.2,over,8
Binnenlandse Zaken en Koninkrijksrelaties,ProDemos,Subsidies (regelingen),2023,17958,8205,118.9,over,5
